date,solar energy
2016-01-01,29
2016-01-02,32
2016-01-03,45
2016-01-04,68
2016-01-05,72
2016-01-06,78
2016-01-07,77
2016-01-08,73
2016-01-09,42
2016-01-10,43
2016-01-11,51
2016-01-12,68
2016-01-13,81
2016-01-14,70
2016-01-15,61
2016-01-16,36
2016-01-17,59
2016-01-18,70
2016-01-19,61
2016-01-20,74
2016-01-21,75
2016-01-22,68
2016-01-23,36
2016-01-24,48
2016-01-25,77
2016-01-26,63
2016-01-27,76
2016-01-28,72
2016-01-29,75
2016-01-30,39
2016-01-31,40
2016-02-01,83
2016-02-02,72
2016-02-03,82
2016-02-04,73
2016-02-05,64
2016-02-06,48
2016-02-07,51
2016-02-08,66
2016-02-09,71
2016-02-10,83
2016-02-11,81
2016-02-12,65
2016-02-13,39
2016-02-14,45
2016-02-15,55
2016-02-16,74
2016-02-17,70
2016-02-18,65
2016-02-19,69
2016-02-20,39
2016-02-21,59
2016-02-22,69
2016-02-23,84
2016-02-24,73
2016-02-25,78
2016-02-26,75
2016-02-27,42
2016-02-28,64
2016-02-29,72
2016-03-01,78
2016-03-02,84
2016-03-03,82
2016-03-04,64
2016-03-05,49
2016-03-06,39
2016-03-07,78
2016-03-08,85
2016-03-09,78
2016-03-10,85
2016-03-11,58
2016-03-12,60
2016-03-13,53
2016-03-14,65
2016-03-15,83
2016-03-16,79
2016-03-17,72
2016-03-18,62
2016-03-19,47
2016-03-20,53
2016-03-21,74
2016-03-22,77
2016-03-23,67
2016-03-24,52
2016-03-25,51
2016-03-26,43
2016-03-27,43
2016-03-28,62
2016-03-29,73
2016-03-30,68
2016-03-31,71
2016-04-01,66
2016-04-02,40
2016-04-03,34
2016-04-04,78
2016-04-05,80
2016-04-06,86
2016-04-07,69
2016-04-08,52
2016-04-09,52
2016-04-10,55
2016-04-11,85
2016-04-12,75
2016-04-13,86
2016-04-14,85
2016-04-15,74
2016-04-16,46
2016-04-17,54
2016-04-18,83
2016-04-19,70
2016-04-20,80
2016-04-21,100
2016-04-22,76
2016-04-23,45
2016-04-24,46
2016-04-25,87
2016-04-26,92
2016-04-27,83
2016-04-28,89
2016-04-29,74
2016-04-30,39
2016-05-01,56
2016-05-02,97
2016-05-03,93
2016-05-04,92
2016-05-05,90
2016-05-06,62
2016-05-07,43
2016-05-08,61
2016-05-09,67
2016-05-10,94
2016-05-11,90
2016-05-12,82
2016-05-13,67
2016-05-14,52
2016-05-15,48
2016-05-16,81
2016-05-17,80
2016-05-18,86
2016-05-19,88
2016-05-20,65
2016-05-21,36
2016-05-22,52
2016-05-23,63
2016-05-24,97
2016-05-25,76
2016-05-26,75
2016-05-27,67
2016-05-28,30
2016-05-29,39
2016-05-30,61
2016-05-31,61
2016-06-01,76
2016-06-02,62
2016-06-03,62
2016-06-04,44
2016-06-05,37
2016-06-06,48
2016-06-07,52
2016-06-08,54
2016-06-09,66
2016-06-10,46
2016-06-11,40
2016-06-12,29
2016-06-13,55
2016-06-14,44
2016-06-15,55
2016-06-16,48
2016-06-17,49
2016-06-18,30
2016-06-19,44
2016-06-20,49
2016-06-21,55
2016-06-22,50
2016-06-23,65
2016-06-24,42
2016-06-25,37
2016-06-26,46
2016-06-27,49
2016-06-28,51
2016-06-29,47
2016-06-30,51
2016-07-01,44
2016-07-02,40
2016-07-03,45
2016-07-04,46
2016-07-05,45
2016-07-06,39
2016-07-07,41
2016-07-08,52
2016-07-09,42
2016-07-10,39
2016-07-11,36
2016-07-12,36
2016-07-13,41
2016-07-14,44
2016-07-15,37
2016-07-16,40
