date,global warming
2015-01-01,10.0
2015-01-02,12.0
2015-01-03,14.0
2015-01-04,12.0
2015-01-05,16.0
2015-01-06,22.0
2015-01-07,19.0
2015-01-08,18.0
2015-01-09,16.0
2015-01-10,12.0
2015-01-11,18.0
2015-01-12,21.0
2015-01-13,21.0
2015-01-14,19.0
2015-01-15,22.0
2015-01-16,20.0
2015-01-17,15.0
2015-01-18,18.0
2015-01-19,21.0
2015-01-20,22.0
2015-01-21,22.0
2015-01-22,23.0
2015-01-23,20.0
2015-01-24,15.0
2015-01-25,19.0
2015-01-26,21.0
2015-01-27,25.0
2015-01-28,27.0
2015-01-29,25.0
2015-01-30,18.0
2015-01-31,14.0
2015-02-01,19.0
2015-02-02,23.0
2015-02-03,21.0
2015-02-04,27.0
2015-02-05,20.0
2015-02-06,21.0
2015-02-07,13.0
2015-02-08,20.0
2015-02-09,26.0
2015-03-20,13.0
2015-03-21,9.0
2015-03-22,10.0
2015-03-23,18.0
2015-03-24,17.0
2015-03-25,20.0
2015-03-26,20.0
2015-03-27,13.0
2015-03-28,9.0
2015-03-29,11.0
2015-03-30,13.0
2015-03-31,13.0
2015-04-01,14.0
2015-04-02,14.0
2015-04-03,9.0
2015-04-04,11.0
2015-04-05,7.0
2015-04-06,13.0
2015-04-07,15.0
2015-04-08,11.0
2015-04-09,16.0
2015-04-10,11.0
2015-04-11,9.0
2015-04-12,16.0
2015-04-13,16.0
2015-04-14,19.0
2015-04-15,18.0
2015-04-16,18.0
2015-04-17,15.0
2015-04-18,10.0
2015-04-19,13.0
2015-04-20,19.0
2015-04-21,20.0
2015-04-22,27.0
2015-04-23,24.0
2015-04-24,18.0
2015-04-25,11.0
2015-04-26,15.0
2015-04-27,19.0
2015-04-28,22.0
2015-04-29,21.0
2015-04-30,15.0
2015-05-01,14.0
2015-05-02,11.0
2015-05-03,14.0
2015-05-04,19.0
2015-05-05,21.0
2015-05-06,18.0
2015-05-07,20.0
2015-05-08,15.0
2015-05-09,8.0
2015-05-10,11.0
2015-05-11,19.0
2015-05-12,22.0
2015-05-13,20.0
2015-05-14,16.0
2015-05-15,13.0
2015-05-16,10.0
2015-05-17,18.0
2015-05-18,19.0
2015-05-19,19.0
2015-05-20,22.0
2015-05-21,19.0
2015-05-22,16.0
2015-05-23,10.0
2015-05-24,9.0
2015-05-25,15.0
2015-05-26,19.0
2015-05-27,16.0
2015-05-28,19.0
2015-05-29,15.0
2015-05-30,10.0
2015-05-31,13.0
2015-06-01,16.0
2015-06-02,15.0
2015-06-03,18.0
2015-06-04,18.0
2015-06-05,15.0
2015-06-06,9.0
2015-06-07,11.0
2015-06-08,17.0
2015-06-09,14.0
2015-06-10,14.0
2015-06-11,12.0
2015-06-12,14.0
2015-06-13,10.0
2015-06-14,12.0
2015-06-15,11.0
2015-06-16,15.0
2015-06-17,15.0
2015-06-18,11.0
2015-06-19,14.0
2015-06-20,9.0
2015-06-21,12.0
2015-06-22,13.0
2015-06-23,12.0
2015-06-24,12.0
2015-06-25,9.0
2015-06-26,11.0
2015-06-27,9.0
2015-06-28,10.0
2015-06-29,11.0
2015-06-30,12.0
2015-07-01,8.0
2015-07-02,10.0
2015-07-03,9.0
2015-07-04,8.0
2015-07-05,11.0
2015-07-06,11.0
2015-07-07,9.0
2015-07-08,14.0
2015-07-09,11.0
2015-07-10,12.0
2015-07-11,7.0
2015-07-12,10.0
2015-07-13,11.0
2015-07-14,10.0
2015-07-15,10.0
2015-07-16,9.0
2015-07-17,8.0
2015-07-18,8.0
2015-07-19,12.0
2015-07-20,11.0
2015-07-21,9.0
2015-07-22,10.0
2015-07-23,11.0
2015-07-24,9.0
2015-07-25,9.0
2015-07-26,11.0
2015-07-27,8.0
2015-07-28,11.0
2015-07-29,10.0
2015-07-30,11.0
2015-07-31,11.0
2015-08-01,8.0
2015-08-02,12.0
2015-08-03,14.0
2015-08-04,14.0
2015-08-05,10.0
2015-08-06,10.0
2015-08-07,10.0
2015-08-08,9.0
2015-08-09,13.0
2015-08-10,11.0
2015-08-11,13.0
2015-08-12,12.0
2015-08-13,12.0
2015-08-14,6.0
2015-08-15,8.0
2015-08-16,10.0
2015-08-17,10.0
2015-08-18,9.0
2015-08-19,10.0
2015-08-20,13.0
2015-08-21,11.0
2015-08-22,9.0
2015-08-23,14.0
2015-08-24,11.0
2015-08-25,14.0
2015-08-26,12.0
2015-08-27,12.0
2015-08-28,9.0
2015-10-06,20.0
2015-10-07,38.0
2015-10-08,30.0
2015-10-09,28.0
2015-10-10,21.0
2015-10-11,23.0
2015-10-12,27.0
2015-10-13,33.0
2015-10-14,31.0
2015-10-15,26.0
2015-10-16,23.0
2015-10-17,18.0
2015-10-18,26.0
2015-10-19,29.0
2015-10-20,25.0
2015-10-21,30.0
2015-10-22,29.0
2015-10-23,21.0
2015-10-24,18.0
2015-10-25,21.0
2015-10-26,27.0
2015-10-27,30.0
2015-10-28,29.0
2015-10-29,34.0
2015-10-30,27.0
2015-10-31,15.0
2015-11-01,26.0
2015-11-02,36.0
2015-11-03,35.0
2015-11-04,40.0
2015-11-05,32.0
2015-11-06,29.0
2015-11-07,19.0
2015-11-08,16.0
2015-11-09,30.0
2015-11-10,34.0
2015-11-11,28.0
2015-11-12,37.0
2015-11-13,27.0
2015-11-14,16.0
2015-11-15,27.0
2015-11-16,41.0
2015-11-17,29.0
2015-11-18,33.0
2015-11-19,41.0
2015-11-20,22.0
2015-11-21,19.0
2015-11-22,21.0
2015-11-23,36.0
2015-11-24,31.0
2015-11-25,28.0
2015-11-26,25.0
2015-11-27,20.0
2015-11-28,20.0
2015-11-29,29.0
2015-11-30,49.0
2015-12-01,52.0
2015-12-02,44.0
2015-12-03,43.0
2015-12-04,35.0
2015-12-05,28.0
2015-12-06,31.0
2015-12-07,47.0
2015-12-08,39.0
2015-12-09,41.0
2015-12-10,44.0
2015-12-11,40.0
2015-12-12,33.0
2015-12-13,41.0
2015-12-14,45.0
2015-12-15,50.0
2015-12-16,46.0
2015-12-17,33.0
2015-12-18,31.0
2015-12-19,17.0
2015-12-20,23.0
2015-12-21,20.0
2015-12-22,20.0
2015-12-23,26.0
2015-12-24,30.0
2015-12-25,20.0
2015-12-26,22.0
2015-12-27,27.0
2015-12-28,21.0
2015-12-29,23.0
2015-12-30,18.0
2015-12-31,19.0
2016-01-01,15.0
2016-01-02,20.0
2016-01-03,21.0
2016-01-04,26.0
2016-01-05,25.0
2016-01-06,26.0
2016-01-07,30.0
2016-01-08,29.0
2016-01-09,18.0
2016-01-10,26.0
2016-01-11,29.0
2016-01-12,32.0
2016-01-13,33.0
2016-01-14,31.0
2016-01-15,21.0
2016-01-16,15.0
2016-01-17,23.0
2016-01-18,27.0
2016-01-19,30.0
2016-01-20,31.0
2016-01-21,33.0
2016-01-22,29.0
2016-01-23,21.0
2016-01-24,26.0
2016-01-25,31.0
2016-01-26,30.0
2016-01-27,35.0
2016-01-28,26.0
2016-01-29,27.0
2016-01-30,18.0
2016-01-31,19.0
2016-02-01,32.0
2016-02-02,27.0
2016-02-03,31.0
2016-02-04,27.0
2016-02-05,23.0
2016-02-06,19.0
2016-02-07,19.0
2016-02-08,26.0
2016-02-09,27.0
2016-02-10,28.0
2016-02-11,29.0
2016-02-12,24.0
2016-02-13,15.0
2016-02-14,19.0
2016-02-15,19.0
2016-02-16,29.0
2016-02-17,30.0
2016-02-18,27.0
2016-02-19,29.0
2016-02-20,18.0
2016-02-21,23.0
2016-02-22,31.0
2016-02-23,35.0
2016-02-24,32.0
2016-02-25,32.0
2016-02-26,27.0
2016-02-27,15.0
2016-02-28,23.0
2016-02-29,45.0
2016-03-01,43.0
2016-03-02,34.0
2016-03-03,31.0
2016-03-04,22.0
2016-03-05,17.0
2016-03-06,26.0
2016-03-07,38.0
2016-03-08,34.0
2016-03-09,31.0
2016-03-10,38.0
2016-03-11,28.0
2016-03-12,21.0
2016-03-13,23.0
2016-03-14,34.0
2016-03-15,34.0
2016-04-23,24.0
2016-04-24,30.0
2016-04-25,43.0
2016-04-26,40.0
2016-04-27,43.0
2016-04-28,38.0
2016-04-29,38.0
2016-04-30,21.0
2016-05-01,27.0
2016-05-02,46.0
2016-05-03,43.0
2016-05-04,42.0
2016-05-05,45.0
2016-05-06,36.0
2016-05-07,23.0
2016-05-08,38.0
2016-05-09,41.0
2016-05-10,46.0
2016-05-11,42.0
2016-05-12,39.0
2016-05-13,32.0
2016-05-14,18.0
2016-05-15,29.0
2016-05-16,45.0
2016-05-17,38.0
2016-05-18,46.0
2016-05-19,38.0
2016-05-20,34.0
2016-05-21,21.0
2016-05-22,27.0
2016-05-23,39.0
2016-05-24,38.0
2016-05-25,38.0
2016-05-26,38.0
2016-05-27,26.0
2016-05-28,22.0
2016-05-29,22.0
2016-05-30,29.0
2016-05-31,34.0
2016-06-01,35.0
2016-06-02,36.0
2016-06-03,30.0
2016-06-04,27.0
2016-06-05,23.0
2016-06-06,29.0
2016-06-07,30.0
2016-06-08,31.0
2016-06-09,27.0
2016-06-10,26.0
2016-06-11,23.0
2016-06-12,25.0
2016-06-13,31.0
2016-06-14,29.0
2016-06-15,27.0
2016-06-16,25.0
2016-06-17,19.0
2016-06-18,24.0
2016-06-19,23.0
2016-06-20,27.0
2016-06-21,29.0
2016-06-22,25.0
2016-06-23,27.0
2016-06-24,26.0
2016-06-25,24.0
2016-06-26,19.0
2016-06-27,23.0
2016-06-28,24.0
2016-06-29,27.0
2016-06-30,21.0
2016-07-01,24.0
2016-07-02,13.0
2016-07-03,25.0
2016-07-04,23.0
2016-07-05,17.0
2016-07-06,13.0
2016-07-07,20.0
