date,fracking
2015-01-01,22
2015-01-02,21
2015-01-03,21
2015-01-04,35
2015-01-05,27
2015-01-06,68
2015-01-07,100
2015-01-08,58
2015-01-09,54
2015-01-10,32
2015-01-11,26
2015-01-12,40
2015-01-13,51
2015-01-14,50
2015-01-15,40
2015-01-16,39
2015-01-17,28
2015-01-18,28
2015-01-19,30
2015-01-20,41
2015-01-21,57
2015-01-22,37
2015-01-23,39
2015-01-24,33
2015-01-25,29
2015-01-26,43
2015-01-27,40
2015-01-28,71
2015-01-29,58
2015-01-30,43
2015-01-31,24
2015-02-01,31
2015-02-02,40
2015-02-03,35
2015-02-04,39
2015-02-05,31
2015-02-06,33
2015-02-07,22
2015-02-08,25
2015-02-09,23
2015-02-10,31
2015-02-11,30
2015-02-12,30
2015-02-13,28
2015-02-14,11
2015-02-15,20
2015-02-16,28
2015-02-17,27
2015-02-18,29
2015-02-19,33
2015-02-20,24
2015-02-21,22
2015-02-22,24
2015-02-23,37
2015-02-24,54
2015-02-25,28
2015-02-26,37
2015-02-27,24
2015-02-28,23
2015-03-01,21
2015-03-02,24
2015-03-03,30
2015-03-04,22
2015-03-05,19
2015-03-06,23
2015-03-07,13
2015-03-08,21
2015-03-09,35
2015-03-10,26
2015-03-11,26
2015-03-12,36
2015-03-13,27
2015-03-14,17
2015-03-15,24
2015-03-16,33
2015-03-17,27
2015-03-18,27
2015-03-19,29
2015-03-20,28
2015-03-21,21
2015-03-22,26
2015-03-23,23
2015-03-24,32
2015-03-25,27
2015-03-26,22
2015-03-27,22
2015-03-28,23
2015-03-29,23
2015-03-30,28
2015-03-31,30
2015-04-01,60
2015-04-02,64
2015-04-03,44
2015-04-04,22
2015-04-05,20
2015-04-06,27
2015-04-07,29
2015-04-08,36
2015-04-09,39
2015-04-10,37
2015-04-11,23
2015-04-12,22
2015-04-13,48
2015-04-14,32
2015-04-15,35
2015-04-16,40
2015-04-17,31
2015-04-18,16
2015-04-19,25
2015-04-20,32
2015-04-21,45
2015-04-22,35
2015-04-23,48
2015-04-24,38
2015-04-25,25
2015-04-26,25
2015-04-27,36
2015-04-28,36
2015-04-29,32
2015-04-30,27
2015-05-01,26
2015-05-02,21
2015-05-03,29
2015-05-04,42
2015-05-05,43
2015-05-06,53
2015-05-07,44
2015-05-08,55
2015-05-09,32
2015-05-10,35
2015-05-11,34
2015-05-12,33
2015-05-13,29
2015-05-14,34
2015-05-15,33
2015-05-16,17
2015-05-17,20
2015-05-18,31
2015-05-19,36
2015-05-20,22
2015-05-21,18
2015-05-22,35
2015-05-23,18
2015-05-24,22
2015-05-25,21
2015-05-26,33
2015-05-27,30
2015-05-28,16
2015-05-29,28
2015-05-30,17
2015-05-31,20
2015-06-01,25
2015-06-02,30
2015-06-03,34
2015-06-04,34
2015-06-05,52
2015-06-06,22
2015-06-07,17
2015-06-08,27
2015-06-09,39
2015-06-10,27
2015-06-11,33
2015-06-12,21
2015-06-13,21
2015-06-14,23
2015-06-15,47
2015-06-16,15
2015-06-17,29
2015-06-18,24
2015-06-19,18
2015-06-20,14
2015-06-21,17
2015-06-22,32
2015-06-23,31
2015-06-24,36
2015-06-25,21
2015-06-26,23
2015-06-27,22
2015-06-28,12
2015-06-29,39
2015-06-30,39
2015-07-01,23
2015-07-02,16
2015-07-03,15
2015-07-04,16
2015-07-05,17
2015-07-06,18
2015-07-07,19
2015-07-08,12
2015-07-09,23
2015-07-10,11
2015-07-11,19
2015-07-12,25
2015-07-13,17
2015-07-14,25
2015-07-15,18
2015-07-16,23
2015-07-17,17
2015-07-18,16
2015-07-19,10
2015-07-20,14
2015-07-21,15
2015-07-22,13
2015-07-23,11
2015-07-24,19
2015-07-25,12
2015-07-26,20
2015-07-27,20
2015-07-28,16
2015-07-29,14
2015-07-30,13
2015-07-31,17
2015-08-01,13
2015-08-02,12
2015-08-03,11
2015-08-04,15
2015-08-05,11
2015-08-06,21
2015-08-07,11
2015-08-08,6
2015-08-09,15
2015-08-10,14
2015-08-11,17
2015-08-12,13
2015-08-13,19
2015-08-14,16
2015-08-15,10
2015-08-16,15
2015-08-17,12
2015-08-18,33
2015-08-19,23
2015-08-20,30
2015-08-21,29
2015-08-22,21
2015-08-23,14
2015-08-24,15
2015-08-25,18
2015-08-26,24
2015-08-27,22
2015-08-28,20
2015-08-29,14
2015-08-30,18
2015-08-31,16
2015-09-01,16
2015-09-02,13
2015-09-03,15
2015-09-04,10
2015-09-05,15
2015-09-06,12
2015-09-07,8
2015-09-08,16
2015-09-09,16
2015-09-10,10
2015-09-11,20
2015-09-12,13
2015-09-13,14
2015-09-14,16
2015-09-15,11
2015-09-16,14
2015-09-17,16
2015-09-18,16
2015-09-19,9
2015-09-20,13
2015-09-21,15
2015-09-22,22
2015-09-23,18
2015-09-24,19
2015-09-25,18
2015-09-26,9
2015-09-27,11
2015-09-28,15
2015-09-29,20
2015-09-30,15
2015-10-01,14
2015-10-02,15
2015-10-03,9
2015-10-04,12
2015-10-05,15
2015-10-06,14
2015-10-07,14
2015-10-08,17
2015-10-09,10
2015-10-10,12
2015-10-11,18
2015-10-12,18
2015-10-13,21
2015-10-14,17
2015-10-15,24
2015-10-16,13
2015-10-17,18
2015-10-18,13
2015-10-19,19
2015-10-20,15
2015-10-21,24
2015-10-22,17
2015-10-23,24
2015-10-24,15
2015-10-25,16
2015-10-26,21
2015-10-27,13
2015-10-28,19
2015-10-29,25
2015-10-30,17
2015-10-31,8
2015-11-01,12
2015-11-02,22
2015-11-03,25
2015-11-04,19
2015-11-05,17
2015-11-06,21
2015-11-07,16
2015-11-08,19
2015-11-09,19
2015-11-10,18
2015-11-11,20
